Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,CTR
1,Innovate Industries,Email,Men 18-24,30 days,Google Ads,0.04,16174.0,6.29,Chicago,Spanish,506,1922,6,Health & Wellness,2021-01-01,26.326742976066598
2,NexGen Systems,Email,Women 35-44,60 days,Google Ads,0.12,11566.0,5.61,New York,German,116,7523,7,Fashionistas,2021-01-02,1.5419380566263459
3,Alpha Innovations,Influencer,Men 25-34,30 days,YouTube,0.07,10200.0,7.18,Los Angeles,French,584,7698,1,Outdoor Adventurers,2021-01-03,7.586386074305014
4,DataTech Solutions,Display,All Ages,60 days,YouTube,0.11,12724.0,5.55,Miami,Mandarin,217,1820,7,Health & Wellness,2021-01-04,11.923076923076923
5,NexGen Systems,Email,Men 25-34,15 days,YouTube,0.05,16452.0,6.5,Los Angeles,Mandarin,379,4201,3,Health & Wellness,2021-01-05,9.021661509164485
6,DataTech Solutions,Display,All Ages,15 days,Instagram,0.07,9716.0,4.36,New York,German,100,1643,1,Foodies,2021-01-06,6.086427267194157
7,NexGen Systems,Email,Women 35-44,60 days,Website,0.13,11067.0,2.86,Los Angeles,Spanish,817,8749,10,Tech Enthusiasts,2021-01-07,9.338210081152132
8,DataTech Solutions,Search,Men 18-24,45 days,Google Ads,0.08,13280.0,5.55,Los Angeles,Mandarin,624,7854,7,Outdoor Adventurers,2021-01-08,7.944996180290298
9,Alpha Innovations,Social Media,Women 35-44,15 days,Facebook,0.09,18066.0,6.73,Chicago,German,861,1754,6,Tech Enthusiasts,2021-01-09,49.08779931584949
10,TechCorp,Email,Women 35-44,15 days,Instagram,0.09,13766.0,3.78,Los Angeles,English,642,3856,3,Tech Enthusiasts,2021-01-10,16.649377593360995
11,NexGen Systems,Display,Men 25-34,45 days,Email,0.12,8590.0,3.49,New York,Spanish,321,6628,10,Tech Enthusiasts,2021-01-11,4.843089921544961
12,Innovate Industries,Influencer,Men 25-34,60 days,Google Ads,0.05,17502.0,3.59,Los Angeles,Mandarin,659,8948,1,Foodies,2021-01-12,7.364774251229325
13,TechCorp,Social Media,Men 25-34,60 days,Facebook,0.09,17189.0,4.91,Chicago,Mandarin,677,8817,10,Tech Enthusiasts,2021-01-13,7.678348644663719
14,TechCorp,Email,Men 25-34,45 days,Instagram,0.14,9975.0,7.06,New York,German,994,2201,4,Health & Wellness,2021-01-14,45.16129032258064
15,TechCorp,Display,All Ages,45 days,Website,0.04,11346.0,5.28,Chicago,Spanish,482,8470,1,Outdoor Adventurers,2021-01-15,5.690672963400236
16,Innovate Industries,Social Media,Women 35-44,60 days,YouTube,0.11,9407.0,2.91,New York,German,299,1512,5,Health & Wellness,2021-01-16,19.775132275132275
